"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"865","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"866","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'107').","Controversial Rules","DataflowAnomalyAnalysis"
"867","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'112').","Controversial Rules","DataflowAnomalyAnalysis"
"868","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'117').","Controversial Rules","DataflowAnomalyAnalysis"
"869","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'122').","Controversial Rules","DataflowAnomalyAnalysis"
"870","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"871","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'132').","Controversial Rules","DataflowAnomalyAnalysis"
"872","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'137').","Controversial Rules","DataflowAnomalyAnalysis"
"873","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"874","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'15').","Controversial Rules","DataflowAnomalyAnalysis"
"875","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'20').","Controversial Rules","DataflowAnomalyAnalysis"
"876","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'25').","Controversial Rules","DataflowAnomalyAnalysis"
"877","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'32').","Controversial Rules","DataflowAnomalyAnalysis"
"878","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'38').","Controversial Rules","DataflowAnomalyAnalysis"
"879","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'44').","Controversial Rules","DataflowAnomalyAnalysis"
"880","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"881","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"882","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"883","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"884","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"885","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'73').","Controversial Rules","DataflowAnomalyAnalysis"
"886","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'78').","Controversial Rules","DataflowAnomalyAnalysis"
"887","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'83').","Controversial Rules","DataflowAnomalyAnalysis"
"888","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'88').","Controversial Rules","DataflowAnomalyAnalysis"
"889","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"890","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","12","Found 'DD'-anomaly for variable 'ALARM_PC' (lines '12'-'98').","Controversial Rules","DataflowAnomalyAnalysis"
"891","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","18","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"892","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","147","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"893","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","147","Parameter 'alarmName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"894","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","147","The method 'getnewAlarmNameProbableCause' has a Cyclomatic Complexity of 108.","Code Size Rules","CyclomaticComplexity"
"895","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","150","Avoid excessively long variable names like newAlarmNameProbableCause","Naming Rules","LongVariable"
"896","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'156').","Controversial Rules","DataflowAnomalyAnalysis"
"897","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'161').","Controversial Rules","DataflowAnomalyAnalysis"
"898","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'200').","Controversial Rules","DataflowAnomalyAnalysis"
"899","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"900","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'246').","Controversial Rules","DataflowAnomalyAnalysis"
"901","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'269').","Controversial Rules","DataflowAnomalyAnalysis"
"902","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'274').","Controversial Rules","DataflowAnomalyAnalysis"
"903","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'282').","Controversial Rules","DataflowAnomalyAnalysis"
"904","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'312').","Controversial Rules","DataflowAnomalyAnalysis"
"905","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'319').","Controversial Rules","DataflowAnomalyAnalysis"
"906","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'332').","Controversial Rules","DataflowAnomalyAnalysis"
"907","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'336').","Controversial Rules","DataflowAnomalyAnalysis"
"908","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","5","150","Found 'DD'-anomaly for variable 'newAlarmNameProbableCause' (lines '150'-'340').","Controversial Rules","DataflowAnomalyAnalysis"
"909","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","346","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"910","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","348","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"911","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","350","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"912","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","352","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"913","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","2","354","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"914","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","354","Avoid unnecessary temporaries when converting primitives to Strings","Basic Rules","UnnecessaryConversionTemporary"
"915","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","357","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"916","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","357","The method 'getEFWSProbableCause' has a Cyclomatic Complexity of 16.","Code Size Rules","CyclomaticComplexity"
"917","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","357","The method getEFWSProbableCause() has an NPath complexity of 4374","Code Size Rules","NPathComplexity"
"918","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","359","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"919","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","361","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"920","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","363","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"921","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","2","378","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"922","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleProbableCause.java","3","378","Avoid unnecessary temporaries when converting primitives to Strings","Basic Rules","UnnecessaryConversionTemporary"
"923","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","11","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"924","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","27","Avoid variables with short names like s","Naming Rules","ShortVariable"
"925","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","27","Parameter 's' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"926","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","29","Local variable 'buf' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"927","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","29","The String literal 'UTC' appears 10 times in this file; the first occurrence is on line 29","String and StringBuffer Rules","AvoidDuplicateLiterals"
"928","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","30","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"929","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","31","Avoid variables with short names like st","Naming Rules","ShortVariable"
"930","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","31","Local variable 'st' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"931","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","34","Avoid unused local variables such as 'month'.","Unused Code Rules","UnusedLocalVariable"
"932","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","34","Found 'DU'-anomaly for variable 'month' (lines '34'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"933","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","34","Local variable 'month' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"934","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","34","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"935","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","34","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"936","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","35","Avoid unused local variables such as 'day'.","Unused Code Rules","UnusedLocalVariable"
"937","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","35","Found 'DU'-anomaly for variable 'day' (lines '35'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"938","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","35","Local variable 'day' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"939","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","35","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"940","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","35","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"941","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","36","Avoid unused local variables such as 'hours'.","Unused Code Rules","UnusedLocalVariable"
"942","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","36","Found 'DU'-anomaly for variable 'hours' (lines '36'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"943","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","36","Local variable 'hours' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"944","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","36","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"945","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","36","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"946","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","37","Avoid unused local variables such as 'minutes'.","Unused Code Rules","UnusedLocalVariable"
"947","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","37","Found 'DU'-anomaly for variable 'minutes' (lines '37'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"948","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","37","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"949","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","37","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"950","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","38","Avoid unused local variables such as 'seconds'.","Unused Code Rules","UnusedLocalVariable"
"951","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","38","Found 'DU'-anomaly for variable 'seconds' (lines '38'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"952","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","38","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"953","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","38","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"954","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","40","Avoid variables with short names like g","Naming Rules","ShortVariable"
"955","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","40","Found 'DU'-anomaly for variable 'g' (lines '40'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"956","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","56","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"957","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","60","Found 'DD'-anomaly for variable 'timeZone' (lines '60'-'61').","Controversial Rules","DataflowAnomalyAnalysis"
"958","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","67","Parameter 'aldateBuff' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"959","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","67","Parameter 'octetsCount' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"960","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","95","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"961","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","97","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"962","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","109","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"963","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","1","121","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"964","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","121","Parameter 'binding' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"965","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","122","Found 'DD'-anomaly for variable 'Time' (lines '122'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"966","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","123","Found 'DD'-anomaly for variable 'Timezone' (lines '123'-'135').","Controversial Rules","DataflowAnomalyAnalysis"
"967","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","123","Found 'DD'-anomaly for variable 'Timezone' (lines '123'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"968","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","123","Found 'DD'-anomaly for variable 'Timezone' (lines '123'-'153').","Controversial Rules","DataflowAnomalyAnalysis"
"969","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","123","Found 'DD'-anomaly for variable 'Timezone' (lines '123'-'159').","Controversial Rules","DataflowAnomalyAnalysis"
"970","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","131","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"971","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","131","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"972","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","133","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"973","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","134","The String literal 'If the time is not in 11 octet then setting the time to local current time' appears 4 times in this file; the first occurrence is on line 134","String and StringBuffer Rules","AvoidDuplicateLiterals"
"974","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","138","Found 'DD'-anomaly for variable 'timeandzone' (lines '138'-'172').","Controversial Rules","DataflowAnomalyAnalysis"
"975","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","142","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"976","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","144","Found 'DD'-anomaly for variable 'timeandzone' (lines '144'-'172').","Controversial Rules","DataflowAnomalyAnalysis"
"977","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","151","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"978","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","156","Found 'DD'-anomaly for variable 'timeandzone' (lines '156'-'172').","Controversial Rules","DataflowAnomalyAnalysis"
"979","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","160","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"980","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","162","Found 'DD'-anomaly for variable 'timeandzone' (lines '162'-'172').","Controversial Rules","DataflowAnomalyAnalysis"
"981","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","167","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"982","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","181","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"983","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","181","Parameter 'binding' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"984","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","182","Found 'DD'-anomaly for variable 'Time' (lines '182'-'194').","Controversial Rules","DataflowAnomalyAnalysis"
"985","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","183","Found 'DD'-anomaly for variable 'Timezone' (lines '183'-'215').","Controversial Rules","DataflowAnomalyAnalysis"
"986","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","183","Found 'DD'-anomaly for variable 'Timezone' (lines '183'-'221').","Controversial Rules","DataflowAnomalyAnalysis"
"987","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","183","Found 'DD'-anomaly for variable 'Timezone' (lines '183'-'244').","Controversial Rules","DataflowAnomalyAnalysis"
